Bavarian	Boarisch	bar
Luxembourgish	Lëtzebuergesch	lb
Tajik	тоҷикӣ	tg
Irish	Gaeilge	ga
Aragonese	aragonés	an
West Frisian	Frysk	fy
Min Nan	Bân-lâm-gú	zh-min-nan
Sanskrit	संस्कृतम्	sa
Kurdish (Kurmanji)	Kurdî	ku
Wu	吴语	wuu
Swahili	Kiswahili	sw
Classical Chinese	文言	zh-classical
Gujarati	ગુજરાતી	gu
Low Saxon	Plattdüütsch	nds
Kirghiz	Кыргызча	ky
Sakha	саха тыла	sah
Malagasy	Malagasy	mg
Chechen	нохчийн	ce
Sinhalese	සිංහල	si
Somali	Soomaaliga	so
Assamese	অসমীয়া	as
Yoruba	Yorùbá	yo
Yiddish	ייִדיש	yi
Chuvash	Чӑвашла	cv
Western Punjabi	پنجابی	pnb
Faroese	føroyskt	fo
Ido	Ido	io
Lombard	lumbaart	lmo
Sundanese	Basa Sunda	su
Southern Azerbaijani	تۆرکجه	azb
Venetian	vèneto	vec
Pashto	پښتو	ps
Scottish Gaelic	Gàidhlig	gd
Turkmen	Türkmençe	tk
Sicilian	sicilianu	scn
Haitian	Kreyòl ayisyen	ht
Piedmontese	Piemontèis	pms
Limburgish	Limburgs	li
Amharic	አማርኛ	am
Zazaki	Zazaki	diq
Maltese	Malti	mt
Anglo-Saxon	Ænglisc	ang
Interlingua	interlingua	ia
Quechua	Runa Simi	qu
Meadow Mari	олык марий	mhr
Dutch Low Saxon	Nedersaksies	nds-nl
Acehnese	Acèh	ace
Udmurt	удмурт	udm
Kabyle	Taqbaylit	kab
Goan Konkani	गोंयची कोंकणी / Gõychi Konknni	gom
Volapük	Volapük	vo
Samogitian	žemaitėška	bat-smg
Fiji Hindi	Fiji Hindi	hif
Ossetian	Ирон	os
Tibetan	བོད་ཡིག	bo
Mingrelian	მარგალური	xmf
Bishnupriya Manipuri	বিষ্ণুপ্রিয়া মণিপুরী	bpy
Upper Sorbian	hornjoserbsce	hsb
West Flemish	West-Vlams	vls
Crimean Tatar	qırımtatarca	crh
Bihari	भोजपुरी	bh
Banjar	Bahasa Banjar	bjn
Jamaican Patois	Patois	jam
Hakka	客家語/Hak-kâ-ngî	hak
Vepsian	vepsän kel’	vep
Neapolitan	Napulitano	nap
Nahuatl	Nāhuatl	nah
Rusyn	русиньскый	rue
Avar	авар	av
Sindhi	سنڌي	sd
Ladino	Ladino	lad
Abkhazian	Аҧсшәа	ab
Franco-Provençal	arpetan	frp
Maithili	मैथिली	mai
Gan	贛語	gan
Mazandarani	مازِرونی	mzn
Emilian-Romagnol	emiliàn e rumagnòl	eml
Divehi	ދިވެހިބަސް	dv
Silesian	ślůnski	szl
Lower Sorbian	dolnoserbski	dsb
Sardinian	sardu	sc
Romansh	rumantsch	rm
Tuvan	тыва дыл	tyv
Pennsylvania German	Deitsch	pdc
Ripuarian	Ripoarisch	ksh
Aramaic	ܐܪܡܝܐ	arc
Kapampangan	Kapampangan	pam
Komi	коми	kv
Buryat	буряад	bxr
Ligurian	Ligure	lij
Minangkabau	Baso Minangkabau	min
Uyghur	ئۇيغۇرچە / Uyghurche	ug
Corsican	corsu	co
Manx	Gaelg	gv
Kashubian	kaszëbsczi	csb
Banyumasan	Basa Banyumasan	map-bms
Võro	Võro	fiu-vro
Central Bicolano	Bikol Central	bcl
Extremaduran	estremeñu	ext
Aymara	Aymar aru	ay
Saterland Frisian	Seeltersk	stq
Xhosa	isiXhosa	xh
Lezgian	лезги	lez
Walloon	walon	wa
Min Dong	Mìng-dĕ̤ng-ngṳ̄	cdo
Chavacano	Chavacano de Zamboanga	cbk-zam
Zulu	isiZulu	zu
Buginese	ᨅᨔ ᨕᨘᨁᨗ	bug
Lao	ລາວ	lo
Karakalpak	Qaraqalpaqsha	kaa
Karachay-Balkar	къарачай-малкъар	krc
Hill Mari	кырык мары	mrj
Newar	नेपाल भाषा	new
Old Church Slavonic	словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ	cu
Northern Sami	sámegiella	se
Ilokano	Ilokano	ilo
Cornish	kernowek	kw
Lingala	lingála	ln
Northern Luri	لۊری شومالی	lrc
Guarani	Avañe'ẽ	gn
Lojban	la .lojban.	jbo
Mirandese	Mirandés	mwl
Gagauz	Gagauz	gag
Wolof	Wolof	wo
North Frisian	Nordfriisk	frr
Norman	Nouormand	nrm
Tok Pisin	Tok Pisin	tpi
Shona	chiShona	sn
Erzya	эрзянь	myv
Cherokee	ᏣᎳᎩ	chr
Gothic	𐌲𐌿𐍄𐌹𐍃𐌺	got
Aromanian	armãneashti	roa-rup
Interlingue	Interlingue	ie
Gilaki	گیلکی	glk
Maori	Māori	mi
Greenlandic	kalaallisut	kl
Zeelandic	Zeêuws	zea
Tarantino	tarandíne	roa-tara
Akan	Akan	ak
Kalmyk	хальмг	xal
Kongo	Kongo	kg
Pontic	Ποντιακά	pnt
Adyghe	адыгабзэ	ady
Friulian	furlan	fur
Picard	Picard	pcd
Igbo	Igbo	ig
Zhuang	Vahcuengh	za
Tetum	tetun	tet
Pangasinan	Pangasinan	pag
Inupiak	Iñupiak	ik
Latgalian	latgaļu	ltg
Inuktitut	ᐃᓄᒃᑎᑐᑦ/inuktitut	iu
Cree	Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ	cr
Hawaiian	Hawaiʻi	haw
Ewe	eʋegbe	ee
Papiamentu	Papiamentu	pap
Bambara	bamanankan	bm
Novial	Novial	nov
Cheyenne	Tsetsêhestâhese	chy
Bislama	Bislama	bi
Kinyarwanda	Kinyarwanda	rw
Nauruan	Dorerin Naoero	na
Palatinate German	Pälzisch	pfl
Dzongkha	ཇོང་ཁ	dz
Lak	лакку	lbe
Moksha	мокшень	mdf
Venda	Tshivenda	ve
Navajo	Diné bizaad	nv
Chamorro	Chamoru	ch
Norfolk	Norfuk / Pitkern	pih
Kabardian	Адыгэбзэ	kbd
Komi-Permyak	Перем Коми	koi
Fula	Fulfulde	ff
Tahitian	reo tahiti	ty
Luganda	Luganda	lg
Northern Sotho	Sesotho sa Leboa	nso
Twi	Twi	tw
Hausa	Hausa	ha
Sesotho	Sesotho	st
Tongan	lea faka-Tonga	to
Tsonga	Xitsonga	ts
Swati	SiSwati	ss
Tumbuka	chiTumbuka	tum
Romani	Romani	rmy
Kashmiri	कॉशुर / کٲشُر	ks
Tswana	Setswana	tn
Fijian	Na Vosa Vakaviti	fj
Kirundi	Kirundi	rn
Pali	पालि	pi
Tigrinya	ትግርኛ	ti
Samoan	Gagana Samoa	sm
Chichewa	Chi-Chewa	ny
Kikuyu	Gĩkũyũ	ki
Sango	Sängö	sg
Oromo	Oromoo	om
Sranan	Sranantongo	srn
